VELOCIDADE_REAL	PERCENTUAL_ACIONAMENTO	RPM	TEMPERATURA
50	32	1003	8.25
50	32	1019	8.25
50	32	1019	8.43
50	32	1017	8.19
50	32	1017	8.17
50	32	1018	8.42
50	32	1018	8.17
50	32	1017	8.32
50	32	1017	8.58
50	32	1003	8.46
50	32	1003	8.54
50	32	1017	8.47
50	32	1017	8.25
50	32	1017	8.44
50	32	1017	8.44
50	32	1018	8.09
50	32	1018	8.52
50	32	1017	8.54
50	32	1017	8.25
50	32	1003	8.53
50	32	1003	8.20
50	32	1017	8.40
50	32	1017	8.32
50	32	1017	8.36
50	32	1017	8.49
50	32	1018	8.43
50	32	1018	8.42
50	32	1017	8.33
50	32	1017	8.28
50	32	1018	8.63
50	32	1018	8.39
50	32	1002	8.43
50	32	1002	8.41
50	32	1018	8.40
50	32	1018	8.58
50	32	1017	8.15
50	32	1017	8.22
50	32	1017	8.36
50	32	1017	8.24
50	32	1018	8.26
50	32	1018	8.21
50	32	1017	8.06
50	32	1017	8.46
50	32	1003	8.66
50	32	1003	8.40
50	32	1017	8.38
50	32	1017	8.21
50	32	1018	8.47
50	32	1018	8.36
50	32	1017	8.03
50	32	1017	8.16
50	32	1017	8.28
50	32	1017	8.16
50	32	1018	8.35
50	32	1018	8.32
50	32	1017	8.42
50	32	1017	8.38
50	32	1018	8.32
50	32	1018	8.41
50	32	1002	8.35
50	32	1002	8.23
50	32	1017	8.40
50	32	1017	8.29
50	32	1018	8.07
50	32	1018	8.28
50	32	1017	8.07
50	32	1017	8.22
50	32	1018	8.43
50	32	1018	8.35
50	32	1017	8.36
50	32	1017	8.40
50	32	1002	8.16
50	32	1002	8.37
50	32	1018	8.20
50	32	1018	8.39
50	32	1017	8.38
50	32	1017	8.13
50	32	1018	8.30
50	32	1018	8.21
50	32	1017	8.41
50	32	1017	8.32
50	32	1018	8.16
50	32	1018	8.13
50	32	1017	8.27
50	32	1017	8.37
50	32	1018	8.16
50	32	1018	8.24
50	32	1002	8.47
50	32	1002	8.25
50	32	1017	7.93
50	32	1017	8.11
50	32	1018	8.51
50	32	1018	8.48
50	32	1017	8.38
50	32	1017	8.25
50	32	1018	8.22
50	32	1018	8.13
50	32	1017	8.17
50	32	1017	8.34
50	32	1018	8.31
50	32	1018	8.41
50	32	1002	8.07
50	32	1002	8.27
50	32	1017	8.42
50	32	1017	8.42
50	32	1018	8.22
50	32	1018	8.41
50	32	1017	8.32
50	32	1017	8.04
50	32	1018	7.98
50	32	1018	8.39
50	32	1017	8.29
50	32	1017	8.40
50	32	1017	8.14
50	32	1017	8.21
50	32	1018	7.98
50	32	1018	8.12
50	32	1002	8.24
50	32	1002	8.32
50	32	1018	8.34
50	32	1018	8.18
50	32	1018	8.28
50	32	1018	8.35
50	32	1017	8.08
50	32	1017	8.37
50	32	1018	8.17
50	32	1018	8.28
50	32	1017	8.25
50	32	1017	8.23
50	32	1018	8.30
50	32	1018	8.31
50	32	1017	8.15
50	32	1017	7.92
50	32	1003	8.14
50	32	1003	8.25
50	32	1017	7.93
50	32	1017	8.50
50	32	1018	8.20
50	32	1018	8.38
50	32	1017	8.52
50	32	1017	8.28
50	32	1017	8.10
50	32	1017	8.15
50	32	1018	8.21
50	32	1018	8.01
50	32	1017	7.84
50	32	1017	8.12
50	32	1018	8.52
50	32	1018	8.16
50	32	1002	8.14
50	32	1002	8.34
50	32	1019	8.26
50	32	1019	7.97
50	32	1018	8.06
50	32	1018	8.12
50	32	1017	8.20
50	32	1017	8.27
50	32	1018	8.46
50	32	1018	8.26
50	32	1017	8.04
50	32	1017	8.35
50	32	1018	8.25
50	32	1018	8.31
50	32	1002	8.23
50	32	1002	8.14
50	32	1018	8.49
50	32	1018	8.12
50	32	1017	8.32
50	32	1017	8.21
50	32	1017	8.28
50	32	1017	8.23
50	32	1018	7.81
50	32	1018	8.60
50	32	1017	8.09
50	32	1017	8.11
50	32	1003	8.43
50	32	1003	8.23
50	32	1017	8.27
50	32	1017	8.29
50	32	1018	7.98
50	32	1018	8.15
50	32	1017	8.29
50	32	1017	8.21
50	32	1002	7.95
50	32	1002	8.07
50	32	1019	8.08
50	32	1019	7.97
50	32	1017	7.87
50	32	1017	7.79
50	32	1018	7.99
